vladmir;4;1.12;2025-01-07 19:35:19
vladmir;4;1.12;2025-01-07 19:36:14
Benoit;1;0.00;2025-01-07 19:37:42
Benoit;4;3.94;2025-01-07 19:38:36
Nestor;5;2.79;2025-01-07 19:39:36
Nestor;5;1.02;2025-01-07 19:40:05
samuel;4;1.48;2025-01-07 19:46:27
bruno;3;0.82;2025-01-07 19:48:33
isaie;2;1.00;2025-01-07 19:50:17
blandine;4;2.28;2025-01-07 19:56:11
tenebreux;2;1.50;2025-01-07 20:03:34
jepht‚;7;81.33;2025-01-08 10:21:22
Nestor;3;2.49;2025-01-08 22:43:05
Nestor;2;0.50;2025-01-08 22:52:21
Nestor;1;0.00;2025-01-08 22:52:31
Nestor;5;2.15;2025-01-08 23:09:24
Nestor;4;1.48;2025-01-08 23:11:02
donne;4;1.87;2025-01-08 23:24:02
